Title,Posted,Hourly,Intermediate,Est. Time,Description,Skills
Facial Expression Recognition System using Customized Neural Networks,Posted 6 minutes ago,Fixed price,Intermediate,N/A,"Please find the attach document. All the details about project is mentioned in the below document. 
Only send proposal after completely reading the document. Thanks","['Machine Learning', 'Deep Learning', 'Python', 'Neural Network', 'TensorFlow', 'Computer Vision', 'Artificial Intelligence', 'Artificial Neural Network', 'Keras', 'Natural Language Processing', '+4']"
Experienced Prompt Engineer and Python Developer for AI-Powered Knowledge Retrieval System,Posted 1 second ago,Hourly: $25.00 - $45.00,Expert,"Est. time:
     1 to 3 months, Less than 30 hrs/week","We are seeking an experienced prompt engineer and Python developer to create an AI-powered knowledge retrieval and evaluation system that leverages multiple language models. The ideal candidate will have extensive experience crafting effective prompts, working with the OpenAI API, and designing systems that facilitate seamless interaction between LLMs.

Project Scope:
- Implement an AI-powered knowledge retrieval and evaluation system using ChatGPT, Claude, and the OpenAI Assistants API
- Develop highly effective prompts for the Responder and Discriminator LLMs to ensure optimal performance
- Design and implement a system that allows for smooth interaction between the LLMs and enables monitoring and control of each step
- Optimize the system for performance, scalability, and user experience

Required Skills and Experience:
- Proven track record of using prompt engineering to create tools, solve complex problems, and optimize LLM performance
- Deep understanding of ChatGPT, Claude, and the OpenAI Assistants API (Retrieval, Threads, Runs)
- Strong coding skills in Python and experience with the Streamlit library
- Excellent problem-solving skills and the ability to think creatively to overcome challenges
- Strong communication skills and ability to work independently

Application Process:
1. Submit your resume and portfolio showcasing relevant projects and experience in prompt engineering and OpenAI API integration.
2. Answer the custom questions provided on the Upwork platform, demonstrating your technical expertise, problem-solving skills, and ability to provide detailed, reflective responses.
3. To demonstrate your attention to detail and commitment to this project, please include a sample prompt that you have engineered for an LLM to perform a specific task related to knowledge retrieval or evaluation. Submit this sample prompt as a separate document alongside your application.
4. Participate in a technical interview to further demonstrate your problem-solving abilities, creative thinking, and communication skills.
5. Sign an NDA before receiving the full project details and scope.

Screening Questions:
1. Describe a specific problem you've encountered in your daily life and how you would design an AI solution to address it. Provide details on the problem, the proposed solution, and your implementation approach.
2. Share your experience integrating the OpenAI Assistants API in a project. What challenges did you face with features like Retrieval, Threads, or Runs, and how did you overcome them?
3. Reflect on a time when a prompt engineering solution you designed did not perform as expected. What assumptions did you make, how did the outcome differ, and how did you adapt your approach?
4. In your opinion, what is the most pressing ethical issue facing the development of language models today? Explain your stance and how you believe this issue should be addressed.
5. Provide a link to a portfolio or documentation of an AI-powered system you developed. Describe your specific contributions and the challenges you faced in delivering the solution.

Timeline:
- Deliver a working prototype within 1 week of project kickoff
- Complete the fully functional and optimized system within the agreed-upon timeline (to be discussed during the interview process)
- Provide comprehensive documentation, including system architecture, code structure, and instructions for future maintenance

Candidates who provide thoughtful, detailed responses to the custom questions and include a relevant, well-crafted sample prompt will be given priority in the application review process.

If our team is satisfied with your work on this project, we will consider you for future projects involving prompt engineering and AI-powered systems.

For additional context and examples of the desired system architecture and functionality, please review the following resources:
- https://www.youtube.com/watch?v=qHPonmSX4Ms.  --- you must know EVERYTHING from this video
- https://www.youtube.com/watch?v=TpMIssRdhco.  --- you must understand this concept and demonstrate how i can be used in chatGPT context
We look forward to reviewing your application and finding the right candidate to bring this innovative project to life!","['Machine Learning', 'Artificial Intelligence', 'Python', 'API']"
Model MLB Final Scores,Posted 22 minutes ago,Hourly: $25.00 - $150.00,Expert,"Est. time:
     1 to 3 months, Less than 30 hrs/week","We have unstructured data in the form of historical MLB box-scores (an example is attached below). Your job will be to create a structured dataset from the raw files and create a model that predicts a team's runs scored given only information leading up to the game. 

 Some ideas for the initial set of features are attached, but the ideal candidate would also look to engineer other features they thought would improve the model. The ideal candidate is a baseball fan that has some intuition about the feature space.

We are flexible on the final type of model, but code should be written in python/pandas and well documented so others can extend your work.","['pandas', 'Python']"
AI Programming for Call Transcript Interpretation,Posted 13 minutes ago,Hourly: $17.00 - $100.00,Intermediate,"Est. time:
     More than 6 months, Less than 30 hrs/week","We are seeking an experienced AI programmer to develop an AI model that can learn a large quantity of information and accurately interpret call transcripts/recorded calls. The ideal candidate will have strong knowledge and expertise in AI, machine learning, and natural language processing. The successful candidate will be responsible for creating and training the AI model, as well as implementing and optimizing the model for real-world use. The goal is to develop a reliable and efficient tool that can extract relevant information from call transcripts/recorded calls, saving time and improving accuracy. The project requires strong analytical and problem-solving skills, attention to detail, and the ability to work independently. Key skills required for this project include:

- AI and machine learning
- Natural language processing
- Data analysis and interpretation
- Data mining and extraction
- Problem-solving and analytical thinking

If you have a strong background in AI programming and are interested in this challenging project, please apply.","['English', 'Mandarin Dialect', 'General Transcription', 'US English Dialect', 'Chinese']"
Generative AI /chatgpt code gen/testcase gen clever cutting edge tricks,Posted 26 minutes ago,Hourly,Intermediate,"Est. time:
     1 to 3 months, Less than 30 hrs/week","1.	Code Auto Completion / Code Generation / Converting English requirements into code / Interactively Evolving Code with an AI System
2.	Generating design and code documentation, perhaps including non-obvious techniques like inclusion of diagrams and other graphics
3.	Debugging assistance, bug finding, smart lint-ing
4.	Automated testing and test case generation
5.	Understanding existing code
6.	Personalized training / learning support
7.	Technology Selection
8.	Refactoring code, i.e., making it easier to read without changing what it does.
9.	Learning models to improve over time","['Python', 'AI Model Training', 'ChatGPT', 'AI-Generated Code', 'Generative AI', 'Generative AI Prompt Engineering', 'LLM Prompt Engineering', 'AI Code Generator', '+2']"
Cybersecurity Expert for Automated Penetration Testing and Machine Learning Dissertation,Posted 50 minutes ago,Fixed price,Expert,N/A,"We are seeking a highly skilled and knowledgeable cybersecurity expert to write a comprehensive dissertation on automated penetration testing in order to detect vulnerabilities using machine learning techniques. The dissertation should cover the latest advancements in the field, explore various methodologies, and provide practical insights into implementing automated penetration testing with machine learning. The ideal candidate should have in-depth expertise in cybersecurity, penetration testing, and machine learning. Strong research and technical writing skills are essential for this project. If you are passionate about cybersecurity and have a proven track record in academic writing, we would love to hear from you. Please provide relevant samples of your previous work.","['Penetration Testing', 'Vulnerability Assessment', 'Network Security', 'Information Security', 'Python']"
AI-Generated Family Portrait Platform,Posted 54 minutes ago,Hourly,Expert,"Est. time:
     3 to 6 months, 30+ hrs/week","We are in search of an expert web developer or team to build a revolutionary website/web app. This platform will enable users to create artificial intelligence-generated family portraits, including Christmas photos and other celebratory images, by uploading individual family member photos. The goal is to provide an innovative solution for families to obtain beautiful portraits without the need for a traditional photo session.

Key Features:

	•	User account creation and management.
	•	Photo upload feature for individual family members.
	•	AI-powered engine to generate cohesive family portraits from uploaded images.
	•	A variety of themes and backgrounds, with a focus on holiday and celebratory occasions, such as Christmas and New Year’s.
	•	Intuitive interface for selecting, positioning, and customizing images within chosen themes.
	•	Option for users to download high-resolution versions of the generated portraits.

Ideal Candidate:

	•	Proven experience in full-stack web development, especially with modern frameworks like React, Vue.js, or Angular, and backend technologies like Node.js, Django, or Ruby on Rails.
	•	Expertise in AI, machine learning, and image processing, particularly in generating images or manipulating photographs.
	•	Knowledgeable in integrating AI models and handling image data securely and efficiently.
	•	Portfolio showcasing projects involving web app development and AI or image processing technologies.
	•	Strong analytical and problem-solving skills, capable of working both independently and as part of a team.
	•	Fluent in English, with excellent communication skills.

Project Deliverables:

	•	A fully operational website/web app capable of generating family portraits from individual photos.
	•	Comprehensive documentation on the system architecture, including server setup, database management, and integration of external APIs or services.
	•	Maintenance and update guide, with instructions for troubleshooting common issues.","['AI Image Editing', 'Graphic Design', 'Product Development Process', 'Web Application', 'Photo Editing', 'AI Image Generation']"
$50m eCommerce brand hiring a Creative Coordinator,Posted 55 minutes ago,Hourly: $10.00 - $30.00,Intermediate,"Est. time:
     More than 6 months, 30+ hrs/week","About nooro:

nooro’s pioneering the ecommerce space for wellness devices, specifically catering to the senior demographic.

mission: To build the largest health community for seniors worldwide, addressing the gap in the market where this group is often underrepresented and misunderstood. We offer physical massage devices as well as information products that cut to the chase, eliminate confusion and provide direct, actionable advice to our customers.

We have a mindset of a startup and that won’t change. Decentralised decision making is key to a massive scale while having fun through the process. With a projected revenue of $200m this year and a strong customer acquisition model through paid advertising, we're on the path to significant impact. We’re going to revolutionize the way seniors approach health care. 

IMPORTANT: Direct response copywriting is our core competency. Our slight edge. It allows us to acquire customers cheaper than our competitors. We’ve noticed ChatGPT delivers solid outputs when prompted well. To further enhance our direct response writing abilities, we want to integrate AI, particularly ChatGPT, into our processes. We want to make it our blood.


Links:
https://nooro-us.com/
https://www.trustpilot.com/review/nooro-us.com


Who are we looking for? We’re looking for a Creative Coordinator.


Responsibilities:
- Assist in producing and executing creative content.
- Collaborate with the creative team and other departments to ensure projects are delivered on time.
- Oversee project timelines, schedules, and workflows for efficient execution.
- Organize meetings, document key points, and ensure follow-up on important tasks.
- Keep creative materials well-organized and easily accessible. Work closely with the entire team to ensure deliverables meet high-quality standards


Requirements:
- 3 years of experience in a creative role, preferably in coordination or creative project management.
- Strong organizational and project management skills, with the ability to manage multiple projects simultaneously.
- Excellent communication and interpersonal skills.
- Proficiency in [ASANA, Airtable, Creative Suite].
- A strong portfolio showcasing your creative and project coordination skills (if applicable).
- Ability to work well under pressure and meet tight deadlines.




Qualifications:
- Bachelor's or Master's degree in Computer Science, AI, ML, or related field.
- Proven experience in machine learning and natural language processing, with a focus on model fine-tuning (GPT experience highly preferred).
- Strong programming skills in Python and familiarity with ML frameworks (e.g., TensorFlow, PyTorch).
- Experience with data scraping, cleaning, and integration techniques.
- The agility to thrive in a dynamic, fast-paced environment, translating tech solutions into tangible business outcomes.
- Experience in developing AI-powered solutions for commercial use is a plus.


If you think we're the right fit, submit your application, and let's talk!","['Digital Project Management', 'Asana']"
Seeking consultant to tell us how to use AI to help write branded emails for our clients (1 hour),Posted 1 hour ago,Fixed price,Intermediate,N/A,"Hello!

We are a medium-sized paid ads and email marketing agency.

We are looking to streamline our email copy-writing (especially for our automated flows).

Currently, we have templated copy structures for all of our automated emails for every client we take on. We manually use theses structures and some example text to write new copy for each new client... applying their brand voice and product features and benefits, etc.

Although we have streamlined the copy-writing process greatly, we know that with AI technology it is probably possible to more quickly write the copy for new clients because we already know the structure to follow (following our strategy and examples) and the brand voice of the client.

What we do not know is what tool or process we should look into. Does a tool already exist for this? Or is it worth developing our own mini-tool?

Our goal, in a nutshell, is to provide an AI tool with these main inputs:

1. The structure/strategy of each email we need to make (headline, subheadline, body text, CTA, etc. etc. - it is different based on the email)
2. Possibly example emails for reference.
3. The brand voice of the client (which we can just scrape from their website)
4. The core features-benefits, solutions, etc. etc. of their product and company.

And the idea would then be to receive the output:

1. For each email, we receive the copy that synthesizes all of the above. (and then we would quality control it and adjust it as-needed).

---

Basically, we made the copy-writing easy for ourselves using our templated structure and examples... but it is still tedious and energy-consuming.

---

But instead of scouring the internet for a possible solution... we'd love to just chat with an expert in the field of AI (and/or email copy-wriitng) to help point us in the right direction faster! Please write ""I am the copy-writing AI consultant you're looking for"" as the first line of your application to let us know you've read the entire job post.

If this interests you, please apply! 

Cheers,
Jake

p.s. I have attached a screenshot of our ""scaffolding"" spreadsheet where we manually generate email copy based on a set structure and a generic example. (column A is the ""section/goal"", column C is the ""generic copy example"" to give us a base of knowledge, and column B is where we write the branded copy for that specific client)

I also made a loom video here for clearer context: https://www.loom.com/share/a6912a7ac6fc46e48aef381a9280c5af?sid=55512016-a6e0-4f2e-869f-4c28aede5830","['Machine Learning', 'Email Copywriting', 'Email Design', 'Email Marketing', 'Email Marketing Strategy', 'Email Template Development', 'Copywriting', 'Generative AI', 'Generative AI Software', '+4']"
AI Saas LLM Expert,Posted 1 hour ago,Fixed price,Intermediate,N/A,"We are on the lookout for a versatile Full-Stack Developer with a solid grounding in Machine Learning to spearhead the creation of an AI-driven job application platform. This innovative platform will employ a cost-free, open-source Language Learning Model (LLM) to aid users in crafting bespoke application letters. The role entails not only the development and integration of the LLM but also the design and implementation of the platform's user interface and experience, incorporating a subscription-based revenue model alongside targeted advertising functionalities. A key feature of the platform will be its ability to evolve based on user feedback, utilizing a simple 'thumbs up' or 'thumbs down' mechanism to refine and enhance the model's output, ensuring the generation of high-quality, personalized content.","['Machine Learning', 'Artificial Intelligence', 'SaaS', 'API', 'React']"
